Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
Perished,3,male,42,0,0,7.65,S
Survived,1,female,18,1,0,227.525,C
Survived,1,male,35,0,0,26.2875,S
Perished,3,female,18,0,1,14.4542,C
Perished,3,male,25,0,0,7.7417,Q
Perished,3,male,26,1,0,7.8542,S
Perished,2,male,39,0,0,26,S
Survived,2,female,45,0,0,13.5,S
Survived,1,male,42,0,0,26.2875,S
Survived,1,female,22,0,0,151.55,S
Survived,3,male,,1,1,15.2458,C
Survived,1,female,24,0,0,49.5042,C
Perished,1,male,,0,0,26.55,S
Survived,1,male,48,1,0,52,S
Perished,3,male,29,0,0,9.4833,S
Perished,2,male,52,0,0,13,S
Perished,3,male,19,0,0,7.65,S
Survived,1,female,38,0,0,227.525,C
Survived,2,female,27,0,0,10.5,S
Perished,3,male,,0,0,15.5,Q
Perished,3,male,33,0,0,7.775,S
Survived,2,female,6,0,1,33,S
Perished,3,male,17,1,0,7.0542,S
Perished,2,male,34,0,0,13,S
Perished,2,male,50,0,0,13,S
Survived,1,male,27,1,0,53.1,S
Perished,3,male,20,0,0,8.6625,S
Survived,2,female,30,3,0,21,S
Survived,3,female,,0,0,7.7375,Q
Perished,2,male,25,1,0,26,S
Perished,3,female,25,1,0,7.925,S
Survived,1,female,29,0,0,211.3375,S
Perished,3,male,11,0,0,18.7875,C
Perished,2,male,,0,0,0,S
Perished,2,male,23,0,0,13,S
Perished,2,male,23,0,0,13,S
Perished,3,male,28.5,0,0,16.1,S
Perished,3,female,48,1,3,34.375,S
Survived,1,male,35,0,0,512.3292,C
Perished,3,male,,0,0,7.8958,S
Perished,3,male,,0,0,7.8958,S
Survived,1,male,,0,0,30,S
Perished,1,male,36,1,0,78.85,S
Survived,1,female,21,2,2,262.375,C
Perished,3,male,24,1,0,16.1,S
Survived,3,male,31,0,0,7.925,S
Perished,1,male,70,1,1,71,S
Perished,3,male,16,1,1,20.25,S
Survived,2,female,30,0,0,13,S
Perished,1,male,19,1,0,53.1,S
Perished,3,male,31,0,0,7.75,Q
Survived,2,female,4,1,1,23,S
Survived,3,male,6,0,1,12.475,S
Perished,3,male,33,0,0,9.5,S
Perished,3,male,23,0,0,7.8958,S
Survived,2,female,48,1,2,65,S
Survived,2,male,0.67,1,1,14.5,S
Perished,3,male,28,0,0,7.7958,S
Perished,2,male,18,0,0,11.5,S
Perished,3,male,34,0,0,8.05,S
Survived,1,female,33,0,0,86.5,S
Perished,3,male,,0,0,14.5,S
Perished,3,male,41,0,0,7.125,S
Survived,3,male,20,0,0,7.2292,C
Survived,1,female,36,1,2,120,S
Perished,3,male,16,0,0,7.775,S
Survived,1,female,51,1,0,77.9583,S
Perished,1,male,,0,0,39.6,C
Perished,3,female,30.5,0,0,7.75,Q
Perished,3,male,,1,0,24.15,Q
Perished,3,male,32,0,0,8.3625,S
Perished,3,male,24,0,0,9.5,S
Perished,3,male,48,0,0,7.8542,S
Perished,2,female,57,0,0,10.5,S
Perished,3,male,,0,0,7.225,C
Survived,2,female,54,1,3,23,S
Perished,3,male,18,0,0,7.75,S
Perished,3,male,,0,0,7.75,Q
Survived,3,female,5,0,0,12.475,S
Perished,3,male,,0,0,7.7375,Q
Survived,1,female,43,0,1,211.3375,S
Survived,3,female,13,0,0,7.2292,C
Survived,1,female,17,1,0,57,S
Perished,1,male,29,0,0,30,S
Perished,3,male,,1,2,23.45,S
Perished,3,male,25,0,0,7.05,S
Perished,3,male,25,0,0,7.25,S
Survived,3,female,18,0,0,7.4958,S
Perished,3,male,8,4,1,29.125,Q
Survived,3,male,1,1,2,20.575,S
Perished,1,male,46,0,0,79.2,C
Perished,3,male,,0,0,7.75,Q
Perished,2,male,16,0,0,26,S
Perished,3,female,,8,2,69.55,S
Perished,1,male,,0,0,30.6958,C
Perished,3,male,25,0,0,7.8958,S
Perished,2,male,39,0,0,13,S
Survived,1,female,49,0,0,25.9292,S
Survived,3,female,31,0,0,8.6833,S
Perished,3,male,30,0,0,7.2292,C
Perished,3,female,30,1,1,24.15,S
Perished,2,male,34,0,0,13,S
Survived,2,female,31,1,1,26.25,S
Survived,1,male,11,1,2,120,S
Survived,3,male,0.42,0,1,8.5167,C
Survived,3,male,27,0,0,6.975,S
Perished,3,male,31,0,0,7.775,S
Perished,1,male,39,0,0,0,S
Perished,3,female,18,0,0,7.775,S
Perished,2,male,39,0,0,13,S
Survived,1,female,33,1,0,53.1,S
Perished,3,male,26,0,0,7.8875,S
Perished,3,male,39,0,0,24.15,S
Perished,2,male,35,0,0,10.5,S
Perished,3,female,6,4,2,31.275,S
Perished,3,male,30.5,0,0,8.05,S
Perished,1,male,,0,0,0,S
Perished,3,female,23,0,0,7.925,S
Perished,2,male,31,1,1,37.0042,C
Perished,3,male,43,0,0,6.45,S
Perished,3,male,10,3,2,27.9,S
Survived,1,female,52,1,1,93.5,S
Survived,3,male,27,0,0,8.6625,S
Perished,1,male,38,0,0,0,S
Survived,3,female,27,0,1,12.475,S
Perished,3,male,2,4,1,39.6875,S
Perished,3,male,,0,0,6.95,Q
Perished,3,male,,0,0,56.4958,S
Survived,2,male,1,0,2,37.0042,C
Survived,3,male,,0,0,7.75,Q
Survived,1,female,62,0,0,80,
Survived,3,female,15,1,0,14.4542,C
Survived,2,male,0.83,1,1,18.75,S
Perished,3,male,,0,0,7.2292,C
Perished,3,male,23,0,0,7.8542,S
Perished,3,male,18,0,0,8.3,S
Survived,1,female,39,1,1,83.1583,C
Perished,3,male,21,0,0,8.6625,S
Perished,3,male,,0,0,8.05,S
Survived,3,male,32,0,0,56.4958,S
Survived,1,male,,0,0,29.7,C
Perished,3,male,20,0,0,7.925,S
Perished,2,male,16,0,0,10.5,S
Survived,1,female,30,0,0,31,C
Perished,3,male,34.5,0,0,6.4375,C
Perished,3,male,17,0,0,8.6625,S
Perished,3,male,42,0,0,7.55,S
Perished,3,male,,8,2,69.55,S
Perished,3,male,35,0,0,7.8958,C
Perished,2,male,28,0,1,33,S
Survived,1,female,,1,0,89.1042,C
Perished,3,male,4,4,2,31.275,S
Perished,3,male,74,0,0,7.775,S
Perished,3,female,9,1,1,15.2458,C
Survived,1,female,16,0,1,39.4,S
Perished,2,female,44,1,0,26,S
Survived,3,female,18,0,1,9.35,S
Survived,1,female,45,1,1,164.8667,S
Survived,1,male,51,0,0,26.55,S
Survived,3,female,24,0,3,19.2583,C
Perished,3,male,,0,0,7.2292,C
Perished,3,male,41,2,0,14.1083,S
Perished,2,male,21,1,0,11.5,S
Survived,1,female,48,0,0,25.9292,S
Perished,3,female,,8,2,69.55,S
Perished,2,male,24,0,0,13,S
Survived,2,female,42,0,0,13,S
Survived,2,female,27,1,0,13.8583,C
Perished,1,male,31,0,0,50.4958,S
Perished,3,male,,0,0,9.5,S
Survived,3,male,4,1,1,11.1333,S
Perished,3,male,26,0,0,7.8958,S
Survived,1,female,47,1,1,52.5542,S
Perished,1,male,33,0,0,5,S
Perished,3,male,47,0,0,9,S
Survived,2,female,28,1,0,24,C
Survived,3,female,15,0,0,7.225,C
Perished,3,male,20,0,0,9.8458,S
Perished,3,male,19,0,0,7.8958,S
Perished,3,male,,0,0,7.8958,S
Survived,1,female,56,0,1,83.1583,C
Survived,2,female,25,0,1,26,S
Perished,3,male,33,0,0,7.8958,S
Perished,3,female,22,0,0,10.5167,S
Perished,2,male,28,0,0,10.5,S
Perished,3,male,25,0,0,7.05,S
Perished,3,female,39,0,5,29.125,Q
Perished,2,male,27,0,0,13,S
Survived,1,female,19,0,0,30,S
Perished,3,female,,1,2,23.45,S
Survived,1,male,26,0,0,30,C
Perished,3,male,32,0,0,7.75,Q
